03848P,國泰金元大03售02
07259P,滬深2X國票01售01
072875,聚碩永豐04購01
073911,南帝元大04購03
08284P,鴻海凱基01售03
03033P,微星國票03售01
04473P,欣興元富07售04
04922P,鴻海國泰07售05
067477,億光元大01購01
067606,京鼎凱基01購04
070661,昇陽半永豐03購01
072756,T50反1國泰09購01
08935P,鴻海元大01售19
05021P,臺股指群益05售21
069736,深中小國泰03購01
075610,大毅凱基05購01
075656,欣興群益06購01
064402,宏碁凱基01購01
069667,A50正2元大03購02
079240,國巨元大07購06
04704P,A50正2元富05售02
059780,滬深2X元大9C購06
064209,燿華凱基01購01
067387,智邦元富04購01
074496,聯茂統一05購02
08885P,台積電國泰03售02
04383P,華通凱基04售01
067597,國巨凱基02購06
074186,百和元富06購01
03795P,臺股指麥證03售01
070094,玉晶光永豐02購05
070566,緯創國泰04購01
072692,高鐵永豐03購01
076534,大立光元大05購14
1817,凱撒衛
069510,宏碁凱基04購01
072722,聯電凱基04購03
08236P,國巨富邦03售01
03029X,元展26
04198P,亞德客群益04售02
063089,巨大凱基9C購01
067277,樺漢統一03購01
068105,GIS永豐01購01
069057,美利達元富08購01
070140,華擎統一04購01
077406,南電凱基05購06
08901P,台表科群益01售02
069127,SP黃豆國泰04購01
073485,臺股指元大04購30
03448P,台積電元大02售30
03700P,友達元大03售02
04293P,精元凱基04售02
067365,美利達群益01購03
074060,華夏統一06購01
075991,恆大元大05購02
04349P,聯發科凱基04售08
073823,台積電麥證04購02
074006,大立光凱基04購10
079132,臻鼎國票08購01
04677P,台灣50元富0B售01
071748,眾達永豐03購01
074068,景碩統一05購05
074033,聯發科兆豐04購03
075208,南帝凱基05購03
077795,日月光凱基07購01
1907,永豐餘
9934,成霖
068207,日月光凱基01購02
074589,新日興群益04購01
075513,華新科統一08購02
076709,日月光永豐05購01
077440,大立光永豐05購05
078692,台積電國泰09購01
08774P,華擎凱基01售02
072548,台積電國票04購08
074962,強茂麥證04購01
077199,友訊群益05購02
061298,華新科富邦01購02
065795,康友永豐9C購02
067414,嘉澤康和01購01
069674,台積電元大04購01
070937,華通群益05購01
070995,台積電群益04購01
077303,晶豪科國泰07購02
077955,上証2X元大07購01
078380,臺股指元大06購07
079146,正崴元大06購01
4142,國光生
067653,可成元富07購03
08952P,台積電元富07售08
064864,金像電永豐01購01
067712,惠特元富04購01
068314,南電國票03購02
069151,世紀鋼永豐02購02
071541,華城元大03購03
074715,群創中信08購01
1506,正道
04393P,聯電元富04售03
05118P,鴻海凱基06售04
066709,聚碩群益01購01
072343,凌陽凱基03購01
073257,聯成永豐04購01
073475,大立光元大07購01
079082,新光鋼群益06購02
063486,聚陽國泰9C購01
066393,華碩凱基01購01
071483,大立光凱基04購02
072565,日月光統一03購02
073527,SP黃豆富邦07購01
03078P,上銀統一01售05
065985,金像電永豐01購02
069879,奇鋐國票03購03
070830,金像電群益03購02
074255,華通統一06購01
078277,玉晶光國票08購06
067136,京鼎永豐01購01
072064,臺股指群益03購09
073775,全新康和04購01
077689,長華凱基06購01
063787,玉晶光統一01購07
064710,元金2X統一03購01
065751,台光電元大9C購06
069994,可成台新02購01
074587,可成群益04購08
03295P,台積電統一02售12
03460P,瑞昱國票02售01
06327P,台積電中信01售01
069761,欣興兆豐03購05
071397,佳世達國票04購01
071438,矽力元大05購01
072385,台積電永豐03購04
077321,友訊永豐05購03
067657,日月光元富01購01
068065,京鼎兆豐01購02
070238,華擎國票03購02
074028,台郡麥證04購01
074422,緯穎元大04購04
074810,力成統一06購01
078788,中興電康和07購01
03368P,臺股指元大02售11
057445,華通元富02購01
075851,日月光富邦07購01
077387,華城凱基05購02
077559,聯電元大05購13
078265,臺股指群益06購01
